Dataset ID,Unformatted Answer
361111,The best test AUROC achieved is 0.718. 
361286,The test AUROC of the best possible model trained is 0.659. 
361070,The test AUROC of the best-trained model is 0.707. 
361278,The best test AUROC achieved is 0.797. 
361093,The test RMSE of the best possible model trained is 0.080. 
361094,The test RMSE of the best model is 0.057. 
361288,The test RMSE of the best possible model trained is 2.184. 
361072,The test RMSE of the best model is 2.455. 
361076,0.605
361279,0.028
361280,The test RMSE of the best possible model trained is 2.195. 
